"Valor Mercado","Tipo","Valor Compra","Edad","Edad Maxima"
"4959.3879606468","1","46514","13","12"
"5971.9308089755","1","46158","13","13"
"5375.7279973014","1","47627","14","13"
"4820.7206679048","1","44183","13","12"
"8709.2212559436","1","43022","10","13"
"5874.6275512249","1","44857","12","12"
"10661.14209114","1","47764","11","15"
"4713.5351170284","1","42638","14","13"
"6317.8133488288","1","42195","13","14"
"4763.5076700499","1","45026","14","13"
"8394.2437131317","1","43101","12","15"
"7157.8619238882","1","44906","13","15"
"4384.5687247986","1","47652","14","12"
"5859.9867741652","1","43501","15","15"
"7420.98354742","1","42827","12","14"
"6500.0928678053","1","43705","12","13"
"4154.2767974881","1","42109","15","13"
"5460.9833550508","1","46632","14","14"
"5910.9927394962","1","45687","14","14"
"6078.9446231929","1","43169","14","15"
"5091.253268747","1","47599","14","13"
"7746.1930758489","1","45583","13","15"
"3475.1833874258","1","42167","15","12"
"9094.2623642315","1","47448","12","15"
"5937.8465041405","1","42672","12","12"
"8563.6824903188","1","42705","11","14"
"10295.756243992","1","46127","11","15"
"4458.0655851092","1","47197","15","13"
"7342.4251196324","1","43207","13","15"
"8568.4350046527","1","47099","10","12"
"7041.2159589913","1","42116","10","12"
"8533.3236868774","1","46906","10","12"
"7453.675443525","1","42436","12","14"
"4250.7666262153","1","45557","14","12"
"7345.8836333732","1","44820","11","12"
"7856.3116093625","1","46231","13","15"
"6057.971759451","1","47039","12","12"
"9002.7100300812","1","46326","12","15"
"8339.3220935149","1","42819","12","15"
"6800.9054455968","1","44329","11","12"
"7561.3568279889","1","43048","10","12"
"5869.0034987374","1","42465","13","13"
"7409.0929919266","1","45744","13","15"
"5763.6171578752","1","47020","12","12"
"7446.040215731","1","47358","14","15"
"9535.492098421","1","45975","10","13"
"7063.3228030358","1","46306","13","14"
"8008.223214971","1","46216","12","14"
"8116.0895912491","1","47643","10","12"
"3937.1499046661","1","47251","15","12"
"8555.6612445721","1","42665","11","14"
"5503.5235855568","1","45758","12","12"
"8269.8978415997","1","45458","10","12"
"3327.4364261707","1","45091","15","12"
"6310.6130312056","1","47356","12","12"
"8185.6329068602","1","42567","12","15"
"4808.0212946677","1","45486","13","12"
"8433.7140469379","1","46889","12","15"
"9529.6410093649","1","47522","11","14"
"10422.283950199","1","44910","10","14"
"4011.9068597615","1","44108","14","12"
"5591.682430632","1","43219","13","13"
"3325.5741151089","1","42858","15","12"
"7087.869375681","1","47338","13","14"
"8094.8870245022","1","44496","10","12"
"6512.9131124162","1","43012","12","13"
"7979.7506409165","1","44182","12","14"
"5468.8043762411","1","46551","14","14"
"3631.6495584973","1","42752","14","12"
"6585.443694134","1","43491","12","13"
"9597.9213125944","1","46276","10","13"
"11576.648211612","1","46504","10","14"
"5506.672635194","1","46085","12","12"
"8183.5669083994","1","46710","10","12"
"6561.1513987843","1","44249","14","15"
"10222.545151832","1","45799","11","15"
"9996.9611504027","1","44352","11","15"
"9383.7247338338","1","43950","11","14"
"7379.0041031517","1","44881","12","13"
"8818.2697534419","1","46066","11","13"
"5396.1497656616","1","46784","15","14"
"9431.6536168278","1","45992","10","13"
"5094.134707053","1","42524","12","12"
"4404.9810064531","1","46635","15","13"
"11436.817118964","1","46816","10","15"
"7624.0090857312","1","44864","13","15"
"7825.3172202101","1","43229","10","12"
"5720.6744800394","1","44216","14","14"
"6391.3876395944","1","43915","14","15"
"5112.3605329405","1","45729","15","14"
"5489.1500794932","1","43583","12","12"
"6120.3851467016","1","46529","12","12"
"7222.1255700519","1","47684","14","15"
"6493.3883716143","1","43792","14","15"
"5677.590876777","1","43883","14","14"
"8289.2159250614","1","47815","13","15"
"6711.0592706935","1","45253","14","15"
"12270.789929722","1","47969","10","15"
"10564.874587502","1","44084","11","15"
"4599.4290851413","1","44465","15","13"
"10566.144515645","1","45510","10","15"
"10834.435503835","1","42354","10","15"
"8729.3057697038","1","47645","10","12"
"8260.4377974323","1","45406","10","12"
"10565.610544054","1","47336","11","15"
"4845.3790856434","1","44409","13","12"
"4998.8343046631","1","45767","15","14"
"6523.0289513259","1","45504","14","15"
"7695.3083276697","1","43089","12","15"
"5573.9573446051","1","43082","13","13"
"8748.1769700543","1","44386","10","12"
"5222.1942394743","1","42506","15","14"
"7665.8099017339","1","47350","11","13"
"7134.7201930569","1","45647","13","15"
"6573.8803713214","1","47719","15","15"
"4888.3171129349","1","47364","15","14"
"9203.0077654228","1","42895","10","13"
"6784.2592552938","1","44804","12","13"
"3786.6499452974","1","45793","15","12"
"8277.5932032629","1","46709","11","13"
"6653.7858411035","1","42919","14","15"
"6739.7415287279","1","44510","12","13"
"6076.4700024772","1","46966","15","15"
"7127.6031300978","1","45185","12","14"
"8595.9617463738","1","45384","10","12"
"7857.5577194369","1","45182","10","12"
"6928.4523361219","1","43758","14","15"
"10248.428322113","1","47484","11","14"
"3759.4799623848","1","44136","15","13"
"7769.8279132584","1","43823","11","13"
"7302.2106179285","1","45940","14","15"
"10456.288076474","1","42330","10","15"
"6392.8363873593","1","42219","12","13"
"7756.5918630664","1","42101","11","14"
"6599.7458020652","1","43034","13","14"
"4631.4182131413","1","42448","13","12"
"10662.708937337","1","45946","10","14"
"9302.1970889116","1","42977","10","13"
"6953.4150188239","1","46425","11","12"
"7670.2316800456","1","45136","13","15"
"5271.1174024546","1","43951","13","12"
"9264.9398997239","1","46202","11","14"
"5747.4561793648","1","44423","13","13"
"9682.3355656463","1","46683","10","13"
"7974.734246471","1","45585","11","13"
"5303.9076447598","1","47871","13","12"
"3357.2329475081","1","43266","15","12"
"9062.8047818466","1","43088","10","13"
"12106.645332485","1","45099","10","15"
"5476.7680766792","1","44482","14","14"
"4369.5707246697","1","47489","14","12"
"7389.4469231962","1","42645","12","14"
"5564.3832105468","1","43008","13","13"
"5693.7927557554","1","42482","15","15"
"7916.6741243874","1","47783","12","14"
"7792.4156701633","1","45855","13","15"
"4093.4419002107","1","44488","14","12"
"5853.6773153362","1","45244","12","12"
"8867.2525600638","1","46791","12","15"
"6287.476661549","1","42919","14","15"
"8100.6953691215","1","42126","11","13"
"8927.7467399944","1","43767","11","15"
"6294.6112057195","1","47983","15","15"
"5451.409923331","1","44728","12","12"
"8355.5056001534","1","44680","10","12"
"6371.6012346369","1","45760","14","15"
"6134.949848347","1","47418","15","15"
"6329.7916654044","1","42275","13","14"
"10869.151597441","1","44359","11","15"
"7074.4657861944","1","43947","13","14"
"12060.889933783","1","45047","10","15"
"7595.5228671015","1","46830","13","15"
"5500.340016508","1","42513","14","14"
"5066.6356000101","1","45320","15","14"
"7523.5381158091","1","42454","11","13"
"4873.166073194","1","44082","14","13"
"7257.6007969429","1","47930","12","13"
"6888.4396683182","1","42311","14","15"
"5602.245649691","1","42932","13","13"
"8435.9441518026","1","42068","11","14"
"8065.5314296254","1","43249","13","15"
"4059.3016205728","1","47983","15","12"
"3652.5171636903","1","43504","15","12"
"7179.7677802809","1","43123","10","12"
"5903.3047592183","1","47433","14","14"
"9146.1832356052","1","47275","10","12"
"7281.4176843897","1","44168","12","14"
"6162.9743509191","1","44265","11","12"
"4343.1361634973","1","46107","14","12"
"8563.8760803369","1","44426","11","13"
"6312.7899265454","1","42186","11","12"
"6855.7797029128","1","46236","14","15"
"8062.3115557551","1","44256","12","14"
"4370.4650767875","1","42895","15","14"
"5247.4317990095","1","47035","14","13"
"11939.678161494","1","45861","10","15"
"3761.5983407546","1","44996","14","12"
"3367.4280022535","1","47951","15","12"
"8603.16094124","1","42427","12","15"
"4682.4997146952","1","47660","13","12"
"7670.4016160541","1","45137","13","15"
"5660.115043649","1","45757","14","14"
"8554.2343429485","1","44098","10","13"
"4998.5135336712","1","43855","15","14"
"6899.373422799","1","46530","14","15"
"5556.581481008","1","47308","15","14"
"7805.1452817461","1","47990","12","13"
"3704.1609858825","1","47737","15","12"
"7519.0012104032","1","45380","11","13"
"5414.0768850776","1","45475","13","13"
"7879.199051278","1","43642","13","15"
"5958.2165088379","1","46052","15","15"
"4213.0324515981","1","44615","15","13"
"7035.5182560799","1","43273","13","15"
"6519.9835175375","1","44107","14","15"
"4894.1346048033","1","45957","15","14"
"9221.8941853636","1","44463","10","13"
"3194.1325444379","1","45064","15","12"
"5805.36720716","1","44814","12","12"
"5908.1691005339","1","46578","13","13"
"4793.5339691163","1","46606","15","13"
"11935.683198126","1","46659","10","15"
"11413.936632537","1","47362","11","15"
"9319.0750789803","1","46962","10","12"
"7957.5344601481","1","43741","10","12"
"10527.665770679","1","47166","11","15"
"9029.7037264772","1","45829","11","14"
"4788.1495170528","1","42829","15","14"
"4048.8239533094","1","45729","14","12"
"10840.954193884","1","46008","10","15"
"7647.0940651307","1","45706","12","14"
"4668.7331638786","1","42790","13","12"
"8065.2881516132","1","45511","11","13"
"8459.6545729176","1","47670","12","14"
"7013.2171542182","1","45335","13","15"
"7424.3409398135","1","47149","11","12"
"11204.076135252","1","43799","10","15"
"6082.0325008585","1","42390","11","12"
"10747.365591612","1","43482","10","15"
"5865.3643242529","1","44581","15","15"
"4088.7296804062","1","45110","15","13"
"6382.1765140712","1","46517","14","14"
"4354.782956043","1","45435","15","13"
"9378.9712920124","1","46005","12","15"
"7550.6320977678","1","47442","12","13"
"6856.7898370116","1","45283","12","13"
"4251.7892986752","1","42435","15","13"
"10507.917946583","1","45279","10","14"
"7195.9703388859","1","44319","12","14"
"10952.913021755","1","45492","10","15"
"11322.460186717","1","44928","10","14"
"8701.245307003","1","43078","10","13"
"8025.0600658665","1","45284","11","13"
"6714.7448143519","1","44846","13","14"
"6011.743849617","1","45824","14","14"
"10248.219622418","1","44237","10","15"
"9160.2719489505","1","43253","11","15"
"4029.3985288049","1","47066","15","13"
"10353.984054361","1","47539","11","14"
"4486.4452893783","1","45354","14","12"
"9474.0609253485","1","44112","10","13"
"5157.1278821353","1","43498","15","14"
"10358.030313237","1","46406","11","15"
"7573.8230084675","1","43705","10","12"
"6986.2936595892","1","44453","13","15"
"7039.4740354201","1","47869","12","13"
"4142.5557641914","1","46869","14","12"
"4337.9185035387","1","47145","14","12"
"5073.1117852068","1","42005","12","12"
"5725.2271904694","1","42099","12","12"
"5995.8267005157","1","47495","15","15"
"7640.5008320769","1","43114","11","13"
"5599.2965633799","1","42216","13","13"
"5288.3288567361","1","47303","15","14"
"7235.4617791731","1","43772","13","15"
"7803.9315866338","1","47554","10","12"
"6307.5129639946","1","42115","11","12"
"5141.2727888751","1","45952","14","13"
"10016.773932868","1","45009","10","13"
"6125.1075057906","1","46953","15","15"
"6036.6209039642","1","46658","15","15"
"4626.9671831006","1","44208","15","14"
"5260.3399643478","1","44917","14","14"
"8599.1300401993","1","44214","12","15"
"8122.4520308362","1","42508","10","13"
"4180.930080168","1","44263","15","13"
"5629.2751431808","1","44767","15","15"
"6743.0435872616","1","45035","13","14"
"5187.0408634967","1","46397","15","14"
"7394.4364136536","1","46044","11","13"
"5500.7281570779","1","42516","14","14"
"5094.0258410075","1","45565","15","14"
"9569.7140929014","1","46140","10","13"
"8193.0641406433","1","43135","12","15"
"5481.7612966073","1","45709","14","13"
"9079.7211562667","1","46455","11","14"
"6833.2269820212","1","42824","11","12"
"9720.0978480655","1","44175","11","15"
"3686.5358229968","1","42605","14","12"
"6447.718760305","1","43484","14","15"
"6558.1283251262","1","43800","13","14"
"6561.6706224645","1","43334","12","13"
"4188.1087776375","1","44339","15","13"
"4271.2335795029","1","47831","15","13"
"7528.1485887655","1","47469","13","14"
"11617.925914236","1","44650","10","15"
"6341.8525802504","1","42708","12","13"
"10661.338061487","1","44636","10","15"
"4234.0847730514","1","42746","14","12"
"6561.9968419368","1","44793","14","15"
"6410.9338691633","1","43029","11","12"
"8166.0574695712","1","43558","11","13"
"5173.9657681084","1","43471","13","13"
"8676.5000390466","1","47954","10","12"
"8706.8902713556","1","43568","11","14"
"7376.6106093887","1","46313","12","13"
"5286.1443322993","1","43740","15","14"
"4008.4524278086","1","42437","15","13"
"7702.2512881737","1","42250","11","13"
"4016.1515927979","1","43648","14","12"
"4929.8770707791","1","44595","14","13"
"5531.8605986507","1","46040","12","12"
"8920.8680374005","1","45805","12","15"
"8991.4013868991","1","44976","11","14"
"4946.4592338157","1","44745","14","13"
"10150.134919938","1","44174","11","15"
"4976.4155000717","1","44513","15","14"
"5638.8939042981","1","42580","13","13"
"6762.4422882802","1","43842","13","15"
"11956.403538019","1","46740","10","15"
"9412.7795726885","1","46600","12","15"
"8952.8082700854","1","45969","12","15"
"7912.8460119901","1","44470","10","12"
"4825.6492221544","1","45822","13","12"
"6387.3696310748","1","43077","14","15"
"6120.9767878294","1","47310","14","14"
"3990.7043454703","1","44225","15","13"
"10549.539816507","1","47264","11","15"
"4545.4962957871","1","47568","15","13"
"7367.7947648197","1","44681","11","12"
"4928.2748787178","1","43359","14","13"
"3878.314627428","1","44896","15","13"
"7685.2327339102","1","44352","12","14"
"4182.158835166","1","44113","14","12"
"4991.4510673255","1","42954","14","13"
"9452.8375813403","1","47139","11","14"
"6335.7094336673","1","47389","14","14"
"4748.4911433783","1","43521","13","12"
"5932.2110906524","1","45851","15","15"
"8221.2413258061","1","45478","12","14"
"10819.731743638","1","44361","10","14"
"10221.652333635","1","45795","11","15"
"4295.974647342","1","43300","13","12"
"6013.5630467768","1","47680","12","12"
"7969.3611630394","1","46933","12","14"
"5690.7876561547","1","43985","13","13"
"5668.6636436685","1","43814","14","14"
"10205.270767592","1","44687","11","15"
"10652.487612085","1","43435","10","14"
"6522.5328677548","1","46077","13","14"
"8912.4270319902","1","44920","10","13"
"7494.1080081006","1","46429","11","12"
"7860.023235653","1","43205","10","12"
"7015.8497472703","1","46857","13","14"
"8685.369573891","1","44299","11","14"
"5670.9301902227","1","44467","15","15"
"4103.0404704795","1","47349","14","12"
"3786.6231568379","1","43022","14","12"
"7341.8048351578","1","43628","11","13"
"5498.3582411561","1","44518","15","15"
"8637.0370999875","1","43768","10","12"
"10991.552766272","1","47363","10","14"
"8947.0564581025","1","42853","10","13"
"9054.0232446432","1","46526","10","12"
"8464.8382137472","1","46240","12","14"
"6193.1709338368","1","47868","12","12"
"6342.141649674","1","45313","11","12"
"4282.2202888717","1","43272","15","13"
"7319.4088305883","1","45360","12","13"
"9386.8628350737","1","46810","11","14"
"6071.1654146881","1","46925","13","13"
"5965.8802360396","1","47114","12","12"
"7846.3814181304","1","45282","12","14"
"6668.1333539885","1","42591","12","14"
"4010.4360152672","1","42458","15","13"
"8329.094158663","1","43858","11","14"
"5105.0970134893","1","47801","15","14"
"4988.0924060069","1","45717","13","12"
"3523.4418176038","1","45408","15","12"
"7336.8172313516","1","43174","13","15"
"5143.1017849271","1","42452","14","13"
"4246.6423309752","1","46153","14","12"
"4322.75189371","1","44854","14","12"
"9204.829514964","1","43103","11","15"
"4628.226240651","1","45826","14","12"
"5722.2270423192","1","44228","15","15"
"7082.582505718","1","46165","11","12"
"10795.106715977","1","44600","11","15"
"6596.4871218284","1","42159","13","14"
"6393.442070714","1","42223","12","13"
"3636.1100152598","1","46860","15","12"
"9364.2028158393","1","46697","11","14"
"3842.8172057049","1","47270","15","12"
"8704.9243363316","1","42285","10","13"
"10750.201797988","1","43305","10","15"
"8087.7611210665","1","44389","12","15"
"5447.5955908907","1","46298","15","15"
"6647.3881950608","1","46006","12","13"
"3946.7121111341","1","44562","14","12"
"3613.7626041545","1","46572","15","12"
"8292.3882318237","1","44451","10","12"
"4287.2197423668","1","46594","14","12"
"5490.7658824497","1","42439","12","12"
"6817.00424706","1","46707","12","13"
"7117.7355485622","1","42089","11","13"
"5184.0951428321","1","44223","13","12"
"6660.9696015126","1","43160","11","12"
"5800.7608176354","1","44835","15","15"
"7884.2824449215","1","45359","11","13"
"6607.6423323697","1","45969","13","14"
"4145.5601069917","1","45267","14","12"
"4422.138414788","1","44388","15","13"
"7663.4342397052","1","45096","13","15"
"7546.6102098497","1","43552","12","14"
"5482.4416380492","1","46758","12","12"
"9163.2482218811","1","43804","10","13"
"7249.199387729","1","44128","12","14"
"10806.091078669","1","42624","10","14"
"11073.877768566","1","47961","10","15"
"6441.1623206601","1","44092","11","12"
"5967.4847796852","1","42821","12","13"
"5597.9861761731","1","46544","13","13"
"9306.872505816","1","46131","11","14"
"7602.0505881352","1","45025","10","12"
"7626.4728990177","1","44275","10","12"
"5084.0238646692","1","42513","13","13"
"8408.8877212904","1","46222","10","12"
"5239.7047640634","1","44726","12","12"
"8258.2985538463","1","42413","10","13"
"6363.5655738524","1","45966","14","15"
"6449.8304671292","1","46045","11","12"
"6106.3568478748","1","45335","14","15"
"7173.7546393768","1","42414","11","13"
"10996.065226823","1","43792","10","14"
"5542.3475565568","1","42750","15","15"
"7950.1750330207","1","45881","12","14"
"5101.7623576138","1","47132","13","12"
"8838.0853184197","1","43496","10","13"
"3305.8951309871","1","43261","15","12"
"10869.865473964","1","45232","10","15"
"5280.2008991497","1","42961","14","14"
"4081.2784245058","1","43208","15","13"
"5315.9036050648","1","43429","13","13"
"4213.2745277417","1","42144","15","13"
"3331.197682343","1","46922","15","12"
"5131.32077228","1","44411","15","14"
"5069.2924707021","1","42392","14","14"
"4834.8060027027","1","43735","14","13"
"4389.2114214099","1","43604","14","12"
"8777.5866562291","1","46169","12","15"
"9427.0187462193","1","45452","10","13"
"7106.5315976998","1","45285","13","15"
"6815.5196233924","1","47509","14","15"
"10081.327232808","1","46212","10","13"
"9437.5972144215","1","47063","11","14"
"7018.9615552158","1","46354","12","13"
"10399.64762534","1","42298","10","15"
"3930.2403866779","1","43098","14","12"
"6689.8167471655","1","42884","12","14"
"10126.756708884","1","47028","10","14"
"6646.4096074131","1","42666","13","14"
"6827.3825051151","1","45228","13","14"
"4195.8201580698","1","45996","14","12"
"7742.2229519825","1","43688","11","13"
"6583.9711520175","1","42915","11","12"
"7326.4562255125","1","46300","13","15"
"9022.3695872411","1","43501","10","13"
"7864.2290681032","1","45385","12","14"
"6659.9522663669","1","43800","14","15"
"10313.907049625","1","44443","10","14"
"11454.375770681","1","46543","10","14"
"5937.3348615924","1","46272","15","15"
"5921.4723107435","1","43631","14","14"
"8688.2253750765","1","45842","10","13"
"8092.5794520757","1","45665","11","13"
"9170.9380316527","1","42109","10","13"
"10593.667627671","1","47364","11","15"
"7705.3329998989","1","44468","12","14"
"7095.2060945835","1","47387","13","14"
"8152.2173618387","1","47047","12","14"
"5403.1646250577","1","43286","15","15"
"5619.713080965","1","47220","13","12"
"12091.213650653","1","47267","10","15"
"10018.262337809","1","47438","10","14"
"4326.1912425606","1","42865","14","12"
"9264.2830660146","1","43508","12","15"
"4750.2627975759","1","43095","15","14"
"5970.4374338859","1","43493","13","14"
"12329.725110408","1","45813","10","15"
"8163.0015359716","1","43060","10","13"
"5663.950955","1","45012","13","13"
"10393.952229524","1","43001","11","15"
"5169.483047059","1","47422","15","14"
"4072.5884223059","1","43116","15","13"
"8018.4789754575","1","44076","10","12"
"5984.0925468334","1","46252","15","15"
"8194.6818675287","1","45835","13","15"
"4805.670758742","1","46307","13","12"
"4060.1124279084","1","47206","14","12"
"5457.9034651355","1","45102","15","14"
"5933.0988843988","1","42150","11","12"
"5122.3480734457","1","45977","13","12"
"10805.664335096","1","46562","10","14"
"3951.8595241877","1","45822","15","13"
"5244.0098260126","1","46378","14","13"
"9524.1169812778","1","44491","12","15"
"5635.1956753477","1","47291","15","14"
"3978.2325103182","1","47516","15","12"
"4600.5456276867","1","42654","15","14"
"9356.9808916128","1","47407","10","13"
"5883.4268373682","1","47396","14","14"
"3872.7562303243","1","42124","14","12"
"9288.8863321345","1","44786","10","13"
"9628.0624844422","1","46477","12","15"
"8016.1375872813","1","45575","11","13"
"6445.6822600515","1","42568","12","13"
"6982.3057546622","1","42676","13","15"
"5212.0430094121","1","46283","13","12"
"8544.9860308033","1","43875","12","15"
"7753.0148629364","1","47845","13","14"
"5968.1526341733","1","46531","13","13"
"4423.8675887582","1","46489","14","12"
"6937.6749099378","1","42353","10","12"
"8264.8046221091","1","42435","12","15"
"8863.0754878143","1","44198","11","14"
"5839.7042548186","1","45136","15","15"
"11836.906165474","1","46438","10","14"
"5891.1364794013","1","45557","14","14"
"7137.0462074299","1","46520","11","12"
"5246.304212749","1","42093","14","14"
"8255.1582817258","1","47916","11","13"
"6094.712609264","1","47107","14","14"
"7178.4368714216","1","42242","13","15"
"11553.636144473","1","44590","10","15"
"9430.9328262515","1","45161","11","15"
"4170.6859989734","1","46251","14","12"
"3120.1814796139","1","42247","15","12"
"8719.0090579057","1","47979","11","14"
"5755.9952719033","1","44489","14","14"
"6709.8519956602","1","44538","13","14"
"6396.927896501","1","46224","14","14"
"7697.9312494325","1","45299","13","15"
"4905.4471618752","1","42761","13","12"
"8170.2528995384","1","44397","11","13"
"5404.1434461543","1","45973","13","12"
"8376.3026471435","1","47266","11","13"
"7344.032968797","1","46914","11","12"
"9646.7701409666","1","43853","10","14"
"8577.8950488202","1","47151","10","12"
"4443.9495078494","1","47830","15","13"
"5341.8462674243","1","44827","15","14"
"6867.3186217332","1","45865","13","14"
"3523.2866272489","1","45406","15","12"
"8511.08348551","1","46125","12","14"
"11445.582024243","1","45159","10","15"
"10989.083745271","1","43965","10","14"
"8211.2850117621","1","42505","10","12"
"11731.887106428","1","46317","10","15"
"8572.8028673888","1","46205","11","13"
"4556.582309034","1","42284","15","14"
"10129.375522251","1","46675","10","13"
"6644.3430919293","1","47318","13","14"
"9031.026058335","1","42630","10","14"
"6233.4571098441","1","42039","14","15"
"8502.3341347179","1","43656","12","15"
"3503.9675747107","1","45900","15","12"
"6866.0545371462","1","43171","12","13"
"6806.820960254","1","44953","12","13"
"7932.3191580381","1","42695","13","15"
"9012.6215039649","1","43454","10","13"
"5513.6848445007","1","44479","15","15"
"10251.115334139","1","45927","11","15"
"6476.4992812453","1","44852","14","15"
"4937.4121040241","1","43181","15","14"
"6175.5399859653","1","44778","14","14"
"5851.4096292079","1","47893","15","14"
"7545.192797665","1","47236","14","15"
"8782.5902007766","1","45095","12","15"
"9846.1863270982","1","47473","10","13"
"10929.595583341","1","42726","10","15"
"8254.3532231179","1","47073","12","14"
"8146.2906287802","1","47100","10","12"
"4880.4312720912","1","42295","15","14"
"6048.8337453455","1","46823","12","12"
"6486.5431247016","1","46808","13","14"
"5490.7290301608","1","44767","15","14"
"7816.5775754574","1","45110","12","14"
"9787.0479532383","1","47559","10","13"
"4336.6303317485","1","47131","14","12"
"6731.672132126","1","45301","13","14"
"5379.7099445215","1","42657","15","15"
"6881.0368914068","1","42661","13","14"
"9738.929497179","1","44104","10","13"
"3789.0459367281","1","46587","15","12"
"10639.079488688","1","42602","10","15"
"4698.7425561936","1","46330","15","14"
"7520.1393921693","1","44042","13","15"
"6478.112126155","1","42225","11","12"
"8834.3957001315","1","45361","12","15"
"5221.8336879767","1","47236","14","13"
"6058.0980155004","1","46824","13","13"
"5928.7469536715","1","43123","13","13"
"11598.785819872","1","45342","10","15"
"6158.3634395791","1","46260","13","13"
"6528.3821588872","1","45598","14","15"
"3584.9468224457","1","42648","15","12"
"4459.7916156018","1","47636","15","13"
"9023.7822379569","1","47400","11","13"
"9653.9787894355","1","46240","10","13"
"4680.2602432016","1","42337","14","13"
"9761.1498559649","1","47063","10","13"
"3345.253035208","1","43412","15","12"
"7414.4667585303","1","44581","12","14"
"5566.0656030085","1","46291","15","15"
"10177.538266383","1","46179","11","15"
"7597.9462227279","1","46340","12","13"
"9293.5989040306","1","46678","10","12"
"5852.0564065642","1","42764","12","13"
"8712.9494585426","1","43626","10","12"
"4172.2726732728","1","47911","15","13"
"4669.1287255531","1","42917","15","14"
"4662.4753896835","1","47565","14","12"
"10300.883217603","1","43573","11","15"
"7512.021256124","1","44205","13","15"
"10361.047161606","1","44256","10","14"
"4102.0251981779","1","46032","15","13"
"5546.7842475654","1","43009","14","14"
"6931.9645571669","1","47828","11","12"
"7220.6880969993","1","44059","12","13"
"5033.0200412624","1","42359","13","13"
"3383.1497367761","1","43600","15","12"
"9083.7725979758","1","46777","11","13"
"5576.5449484046","1","43102","13","13"
"5958.2121319481","1","42410","14","14"
"5740.3748884195","1","43512","13","13"
